IEEE Dataset - Feature Correlations with Fraud


V257                          : +0.3831
id_37                         : +0.1199
id_12                         : +0.1198
id_22                         : +0.1184
V238                          : +0.1175
V113                          : +0.1160
V48                           : -0.1158
V249                          : +0.1139
V283                          : +0.1127
DeviceType                    : +0.1127
V125                          : +0.1120
V49                           : -0.1109
V90                           : -0.1102
V185                          : +0.1092
V29                           : -0.1079
V91                           : -0.1055
V112                          : +0.1052
V261                          : +0.1048
V69                           : -0.1045
V282                          : +0.1041
V30                           : -0.1031
ProductCD                     : +0.1021
V70                           : -0.1009
id_26                         : +0.0996
card6                         : -0.0978
M6                            : -0.0976
V108                          : +0.0968
V114                          : +0.0961
DeviceInfo                    : +0.0955
V245                          : +0.0913
M1                            : -0.0894
V141                          : +0.0856
id_07                         : -0.0848
D2                            : -0.0836
V110                          : +0.0816
V116                          : +0.0806
V142                          : +0.0804
V248                          : +0.0785
D15                           : -0.0775
V35                           : -0.0771
V124                          : +0.0767
V220                          : +0.0766
V67                           : +0.0762
V235                          : +0.0762
M2                            : -0.0748
V10                           : -0.0747
V281                          : +0.0726
V62                           : +0.0724
D10                           : -0.0720
V11                           : -0.0719
M9                            : -0.0715
M3                            : -0.0704
V36                           : -0.0699
id_32                         : +0.0697
V83                           : +0.0692
V169                          : +0.0681
M8                            : -0.0673
D4                            : -0.0672
D1                            : -0.0672
D5                            : -0.0646
V150                          : -0.0640
M7                            : -0.0637
id_21                         : +0.0635
V251                          : +0.0633
V159                          : -0.0627
V160                          : -0.0623
V145                          : -0.0620
id_20                         : +0.0616
V56                           : +0.0614
V109                          : +0.0610
V151                          : -0.0609
id_04                         : -0.0597
D13                           : -0.0594
V152                          : -0.0592
id_08                         : -0.0575
id_14                         : +0.0573
D6                            : -0.0572
V115                          : +0.0571
V191                          : +0.0552
V232                          : +0.0546
V162                          : +0.0533
V256                          : +0.0530
V12                           : -0.0524
V75                           : -0.0522
V144                          : -0.0520
V165                          : -0.0514
V82                           : +0.0511
V55                           : +0.0501
id_18                         : +0.0500
V254                          : +0.0499
V117                          : +0.0494
V61                           : +0.0494
id_02                         : +0.0494
V3                            : +0.0493
V315                          : +0.0483
V119                          : +0.0481
V218                          : +0.0476
V53                           : -0.0474
V163                          : +0.0465
V76                           : -0.0464
D3                            : -0.0463
V233                          : +0.0462
V219                          : +0.0460
V217                          : +0.0458
V13                           : -0.0457
V250                          : +0.0452
D11                           : -0.0451
D9                            : -0.0443
V237                          : +0.0427
V138                          : +0.0427
V289                          : +0.0426
id_19                         : -0.0417
V313                          : +0.0415
id_03                         : +0.0415
V231                          : +0.0413
V118                          : +0.0406
V20                           : +0.0403
V290                          : +0.0401
V236                          : +0.0400
V161                          : +0.0398
V314                          : +0.0385
V196                          : +0.0383
V255                          : +0.0381
V9                            : +0.0379
V66                           : +0.0376
V312                          : +0.0376
C2                            : +0.0372
V54                           : -0.0370
V5                            : +0.0369
V288                          : +0.0353
V284                          : +0.0353
M4                            : +0.0351
id_25                         : +0.0340
card5                         : -0.0336
C8                            : +0.0321
V301                          : +0.0321
C12                           : +0.0319
C9                            : -0.0317
V19                           : +0.0309
C5                            : -0.0308
C1                            : +0.0306
addr2                         : -0.0304
C4                            : +0.0304
V143                          : -0.0298
V166                          : -0.0294
id_09                         : +0.0294
D12                           : -0.0289
id_30                         : +0.0285
C10                           : +0.0284
V181                          : +0.0283
C7                            : +0.0282
C11                           : +0.0275
V164                          : -0.0274
V98                           : +0.0273
V271                          : +0.0272
id_06                         : -0.0271
V292                          : +0.0268
id_34                         : +0.0263
V272                          : +0.0254
V300                          : +0.0253
V131                          : +0.0250
R_emaildomain                 : +0.0244
V187                          : +0.0242
V333                          : -0.0241
id_27                         : +0.0241
V324                          : -0.0240
V7                            : +0.0235
V332                          : -0.0235
id_23                         : +0.0235
V323                          : -0.0233
V329                          : -0.0231
V193                          : +0.0221
V331                          : -0.0220
V322                          : -0.0215
dist1                         : +0.0215
V173                          : -0.0213
V330                          : -0.0212
V212                          : -0.0211
C6                            : +0.0209
V204                          : -0.0207
V213                          : -0.0206
V291                          : +0.0204
V287                          : +0.0204
V309                          : +0.0203
V203                          : -0.0199
V2                            : +0.0199
V120                          : +0.0197
V253                          : +0.0197
id_13                         : -0.0195
V234                          : -0.0194
V338                          : -0.0194
dist2                         : -0.0191
V209                          : -0.0188
V122                          : +0.0187
V211                          : -0.0186
V192                          : +0.0183
id_33                         : +0.0180
V202                          : -0.0180
P_emaildomain                 : -0.0179
V275                          : +0.0171
V227                          : +0.0170
V178                          : -0.0165
V174                          : +0.0162
V8                            : +0.0160
V168                          : -0.0160
V26                           : +0.0159
V179                          : -0.0159
V270                          : +0.0157
V273                          : +0.0157
V274                          : +0.0155
V263                          : +0.0147
V339                          : -0.0147
V265                          : +0.0142
V177                          : -0.0137
card1                         : -0.0136
V172                          : -0.0132
V99                           : -0.0132
TransactionDT                 : +0.0131
V167                          : -0.0129
V129                          : +0.0127
V4                            : +0.0126
V207                          : -0.0124
V121                          : +0.0123
TransactionAmt                : +0.0113
V100                          : +0.0113
C13                           : -0.0111
V310                          : +0.0111
V328                          : -0.0111
id_10                         : +0.0110
V277                          : +0.0107
V6                            : +0.0106
V182                          : -0.0101
V278                          : +0.0100
V205                          : -0.0099
V276                          : +0.0097
V264                          : +0.0094
V180                          : -0.0093
V208                          : +0.0092
V285                          : -0.0091
D14                           : -0.0087
id_05                         : -0.0080
V225                          : +0.0079
C14                           : +0.0079
id_11                         : +0.0079
V325                          : +0.0078
card4                         : -0.0077
V267                          : -0.0074
V326                          : -0.0068
C3                            : -0.0068
M5                            : -0.0064
V307                          : +0.0059
V269                          : -0.0059
V337                          : -0.0057
V206                          : -0.0057
addr1                         : +0.0056
V96                           : -0.0055
V335                          : -0.0055
V266                          : -0.0053
V89                           : -0.0052
V268                          : -0.0052
V103                          : -0.0051
V317                          : +0.0050
V27                           : -0.0050
V320                          : +0.0050
V28                           : -0.0049
V214                          : +0.0049
V102                          : -0.0048
V215                          : -0.0048
V101                          : -0.0047
V293                          : -0.0045
V97                           : -0.0045
V286                          : +0.0044
V132                          : -0.0043
V294                          : +0.0042
V296                          : +0.0042
V41                           : +0.0042
V95                           : -0.0041
V68                           : -0.0040
V25                           : +0.0038
V279                          : -0.0038
V126                          : -0.0035
V134                          : -0.0035
V104                          : +0.0035
card2                         : +0.0034
V308                          : +0.0033
V105                          : -0.0032
V133                          : -0.0032
V130                          : +0.0031
V316                          : -0.0030
V240                          : +0.0028
V65                           : +0.0027
V127                          : -0.0026
V107                          : +0.0026
V297                          : +0.0025
V336                          : -0.0024
V226                          : +0.0023
V175                          : -0.0022
V14                           : +0.0021
V106                          : -0.0021
V241                          : +0.0020
V128                          : -0.0019
id_24                         : -0.0019
V306                          : -0.0019
V295                          : -0.0017
V321                          : +0.0017
V311                          : +0.0013
V298                          : +0.0013
V224                          : +0.0012
V223                          : +0.0011
V327                          : -0.0010
V1                            : +0.0010
V318                          : +0.0010
V280                          : -0.0008
V183                          : -0.0007
V210                          : -0.0007
V216                          : -0.0006
V88                           : +0.0006
V305                          : -0.0005
V334                          : -0.0005
V299                          : -0.0003
V135                          : -0.0003
V137                          : -0.0001
V319                          : +0.0001
V136                          : -0.0000


